"date","open","high","low","close","volume"
2014-09-17,465.864013671875,468.174011230469,452.421997070312,457.334014892578,21056800
2014-09-18,456.859985351562,456.859985351562,413.10400390625,424.440002441406,34483200
2014-09-19,424.102996826172,427.834991455078,384.532012939453,394.795989990234,37919700
2014-09-20,394.673004150391,423.295989990234,389.882995605469,408.903991699219,36863600
2014-09-21,408.084991455078,412.425994873047,393.180999755859,398.821014404297,26580100
2014-09-22,399.100006103516,406.915985107422,397.130004882812,402.152008056641,24127600
2014-09-23,402.092010498047,441.557006835938,396.196990966797,435.790985107422,45099500
2014-09-24,435.751007080078,436.111999511719,421.131988525391,423.204986572266,30627700
2014-09-25,423.156005859375,423.519989013672,409.467987060547,411.574005126953,26814400
2014-09-26,411.428985595703,414.93798828125,400.009002685547,404.424987792969,21460800
2014-09-27,403.555999755859,406.622985839844,397.372009277344,399.519989013672,15029300
2014-09-28,399.471008300781,401.016998291016,374.332000732422,377.180999755859,23613300
2014-09-29,376.928009033203,385.210998535156,372.239990234375,375.467010498047,32497700
2014-09-30,376.088012695312,390.976989746094,373.442993164062,386.944000244141,34707300
2014-10-01,387.427001953125,391.378997802734,380.779998779297,383.614990234375,26229400
2014-10-02,383.988006591797,385.497009277344,372.946014404297,375.071990966797,21777700
2014-10-03,375.180999755859,377.695007324219,357.859008789062,359.511993408203,30901200
2014-10-04,359.891998291016,364.486999511719,325.885986328125,328.865997314453,47236500
2014-10-05,328.915985107422,341.800994873047,289.295989990234,320.510009765625,83308096
2014-10-06,320.389007568359,345.134002685547,302.559997558594,330.079010009766,79011800
2014-10-07,330.584014892578,339.247009277344,320.481994628906,336.18701171875,49199900
2014-10-08,336.115997314453,354.364013671875,327.18798828125,352.940002441406,54736300
2014-10-09,352.747985839844,382.726013183594,347.68701171875,365.026000976562,83641104
2014-10-10,364.68701171875,375.066986083984,352.963012695312,361.56201171875,43665700
2014-10-11,361.361999511719,367.191009521484,355.950988769531,362.299011230469,13345200
2014-10-12,362.605987548828,379.433013916016,356.144012451172,378.549011230469,17552800
2014-10-13,377.920989990234,397.226013183594,368.897003173828,390.414001464844,35221400
2014-10-14,391.691986083984,411.697998046875,391.324005126953,400.869995117188,38491500
2014-10-15,400.954986572266,402.226989746094,388.765991210938,394.773010253906,25267100
2014-10-16,394.518005371094,398.807006835938,373.070007324219,382.555999755859,26990000
2014-10-17,382.756011962891,385.477996826172,375.389007568359,383.757995605469,13600700
2014-10-18,383.976013183594,395.157989501953,378.971008300781,391.441986083984,11416800
2014-10-19,391.253997802734,393.938995361328,386.457000732422,389.545989990234,5914570
2014-10-20,389.230987548828,390.084014892578,378.252014160156,382.845001220703,16419000
2014-10-21,382.420989990234,392.64599609375,380.834014892578,386.475006103516,14188900
2014-10-22,386.118011474609,388.575988769531,382.248992919922,383.157989501953,11641300
2014-10-23,382.962005615234,385.048004150391,356.446990966797,358.4169921875,26456900
2014-10-24,358.591003417969,364.345001220703,353.304992675781,358.345001220703,15585700
2014-10-25,358.610992431641,359.860992431641,342.877014160156,347.27099609375,18127500
2014-10-26,347.486999511719,359.221008300781,343.930999755859,354.704010009766,11272500
2014-10-27,354.777008056641,358.631988525391,349.808990478516,352.989013671875,13033000
